OTD_ID,Title,Library_Name,Query_Origin,Sentinel_KQL_Path,Splunk_SPL_Path
OTD-0001,External remote services abuse into OT/DMZ,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0001__external-remote-services-abuse-into-ot-dmz.kql,02-detection/queries/splunk/OTD-0001__external-remote-services-abuse-into-ot-dmz.spl
OTD-0002,Internet-accessible ICS device exposure,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0002__internet-accessible-ics-device-exposure.kql,02-detection/queries/splunk/OTD-0002__internet-accessible-ics-device-exposure.spl
OTD-0003,Unauthorized Modbus write to coils/registers,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0003__unauthorized-modbus-write-to-coils-registers.kql,02-detection/queries/splunk/OTD-0003__unauthorized-modbus-write-to-coils-registers.spl
OTD-0004,Modbus FC08 diagnostic restart/listen-only,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0004__modbus-fc08-diagnostic-restart-listen-only.kql,02-detection/queries/splunk/OTD-0004__modbus-fc08-diagnostic-restart-listen-only.spl
OTD-0005,S7comm STOP CPU command,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0005__s7comm-stop-cpu-command.kql,02-detection/queries/splunk/OTD-0005__s7comm-stop-cpu-command.spl
OTD-0006,S7comm program/logic download to PLC,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0006__s7comm-program-logic-download-to-plc.kql,02-detection/queries/splunk/OTD-0006__s7comm-program-logic-download-to-plc.spl
OTD-0007,DNP3 cold/warm restart function,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0007__dnp3-cold-warm-restart-function.kql,02-detection/queries/splunk/OTD-0007__dnp3-cold-warm-restart-function.spl
OTD-0008,DNP3 disable unsolicited responses,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0008__dnp3-disable-unsolicited-responses.kql,02-detection/queries/splunk/OTD-0008__dnp3-disable-unsolicited-responses.spl
OTD-0009,IEC-104 unauthorized control from non-EWS,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0009__iec-104-unauthorized-control-from-non-ews.kql,02-detection/queries/splunk/OTD-0009__iec-104-unauthorized-control-from-non-ews.spl
OTD-0010,IEC 61850 GOOSE spoofing/manipulation,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0010__iec-61850-goose-spoofing-manipulation.kql,02-detection/queries/splunk/OTD-0010__iec-61850-goose-spoofing-manipulation.spl
OTD-0011,OPC UA anonymous/unencrypted session,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0011__opc-ua-anonymous-unencrypted-session.kql,02-detection/queries/splunk/OTD-0011__opc-ua-anonymous-unencrypted-session.spl
OTD-0012,EtherNet/IP CIP firmware update to controller,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0012__ethernet-ip-cip-firmware-update-to-controller.kql,02-detection/queries/splunk/OTD-0012__ethernet-ip-cip-firmware-update-to-controller.spl
OTD-0013,Active network scan of OT subnet,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0013__active-network-scan-of-ot-subnet.kql,02-detection/queries/splunk/OTD-0013__active-network-scan-of-ot-subnet.spl
OTD-0014,New/unauthorized node on OT segment,OT Threat Content,compiled-from-sigma,02-detection/queries/sentinel/OTD-0014__new-unauthorized-node-on-ot-segment.kql,02-detection/queries/splunk/OTD-0014__new-unauthorized-node-on-ot-segment.spl
OTD-0015,Rogue engineering workstation to PLC,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0015__rogue-engineering-workstation-to-plc.kql,02-detection/queries/splunk/OTD-0015__rogue-engineering-workstation-to-plc.spl
OTD-0016,Alarm suppression/modify alarm settings,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0016__alarm-suppression-modify-alarm-settings.kql,02-detection/queries/splunk/OTD-0016__alarm-suppression-modify-alarm-settings.spl
OTD-0017,SIS key switch in PROGRAM mode,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0017__sis-key-switch-in-program-mode.kql,02-detection/queries/splunk/OTD-0017__sis-key-switch-in-program-mode.spl
OTD-0018,Malware transfer via SMB in OT,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0018__malware-transfer-via-smb-in-ot.kql,02-detection/queries/splunk/OTD-0018__malware-transfer-via-smb-in-ot.spl
OTD-0019,Known-bad C2/malicious IP contact from OT,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0019__known-bad-c2-malicious-ip-contact-from-ot.kql,02-detection/queries/splunk/OTD-0019__known-bad-c2-malicious-ip-contact-from-ot.spl
OTD-0020,Removable media introduced to OT asset,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0020__removable-media-introduced-to-ot-asset.kql,02-detection/queries/splunk/OTD-0020__removable-media-introduced-to-ot-asset.spl
OTD-0021,Modbus enumeration and point/tag ID,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0021__modbus-enumeration-and-point-tag-id.kql,02-detection/queries/splunk/OTD-0021__modbus-enumeration-and-point-tag-id.spl
OTD-0022,Brute force/repeated failed OT auth,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0022__brute-force-repeated-failed-ot-auth.kql,02-detection/queries/splunk/OTD-0022__brute-force-repeated-failed-ot-auth.spl
OTD-0023,Denial-of-service flood against controller,OT Threat Content,scaffold,02-detection/queries/sentinel/OTD-0023__denial-of-service-flood-against-controller.kql,02-detection/queries/splunk/OTD-0023__denial-of-service-flood-against-controller.spl
