OTD_ID,Title,Library,Library_Name,Legacy_ID,Merged_Legacy_IDs,Merge_Count,Category,ATTACK_Technique_IDs,Threat_Actors,Sectors,Purdue_Level,Protocol,Data_Source,Nozomi_Type_ID,Severity,Status,Artifact_Path,Slug,Logic_Summary
OTD-0001,External remote services abuse into OT/DMZ,use-case,OT Threat Content,OT-UC-0001,,0,Access,T0822,KAMACITE;VOLTZITE;BAUXITE,Electric;Oil & Gas;Water,L3.5,RDP/VPN,Firewall/VPN,NET:NEW-LINK,High,Validated,,external-remote-services-abuse-into-ot-dmz,
OTD-0002,Internet-accessible ICS device exposure,use-case,OT Threat Content,OT-UC-0002,,0,Access,T0883,BAUXITE,Water;Oil & Gas,L2,Modbus/HTTP,Asset Inventory+External Scan,VI:NEW-NODE,High,Validated,02-detection/nozomi/internet-exposed-device.n2ql,internet-accessible-ics-device-exposure,
OTD-0003,Unauthorized Modbus write to coils/registers,use-case,OT Threat Content,OT-UC-0003,SIGMA:ot-ics-soc/01;MOD-01,2,Control,T0855,CHERNOVITE,Manufacturing;Water;Oil & Gas,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,High,Production,02-detection/sigma/core-protocol/modbus-unauthorized-write.yml,unauthorized-modbus-write-to-coils-registers,"Detects Modbus write function codes (05,06,0F,10) issued by a source IP that is not in the known engineering workstation/SCADA master allow-list."
OTD-0004,Modbus FC08 diagnostic restart/listen-only,use-case,OT Threat Content,OT-UC-0004,SIGMA:ot-ics-soc/02;MOD-03,2,Denial,T0816,CHERNOVITE,Manufacturing;Water,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,High,Production,02-detection/sigma/core-protocol/modbus-fc08-restart.yml,modbus-fc08-diagnostic-restart-listen-only,"Detects Modbus Diagnostics (function code 08) sub-function 01 (Restart Communications Option), which forces a slave device to reinitialize its communication port — can be used as a denial-of-service technique against a PLC/RTU."
OTD-0005,S7comm STOP CPU command,use-case,OT Threat Content,OT-UC-0005,SIGMA:ot-ics-soc/09;S7-02,2,Denial,T0816,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L1,S7comm,Network/Nozomi,PROT:S7-ILLEGAL,High,Production,02-detection/sigma/core-protocol/s7comm-stop-cpu.yml,s7comm-stop-cpu-command,"Detects an OPC UA session activated using the Anonymous UserIdentityToken policy against a server, which should not be permitted on a production OT OPC UA server per IEC 62443 hardening guidance."
OTD-0006,S7comm program/logic download to PLC,use-case,OT Threat Content,OT-UC-0006,,0,Control,T0843,CHERNOVITE,Manufacturing,L1,S7comm,Network/Nozomi,SIGN:PACKET-RULE,High,Validated,,s7comm-program-logic-download-to-plc,
OTD-0007,DNP3 cold/warm restart function,use-case,OT Threat Content,OT-UC-0007,SIGMA:ot-ics-soc/05;DNP3-02,2,Denial,T0816,ELECTRUM,Electric,L1,DNP3,Network/Nozomi,PROT:DNP3-ILLEGAL,High,Production,02-detection/sigma/core-protocol/dnp3-restart.yml,dnp3-cold-warm-restart-function,"Detects DNP3 function code 13 (Cold Restart) or 14 (Warm Restart), which forces an outstation/RTU to reboot. High operational-impact command rarely used outside planned maintenance."
OTD-0008,DNP3 disable unsolicited responses,use-case,OT Threat Content,OT-UC-0008,SIGMA:ot-ics-soc/06;DNP3-03,2,Evasion,T0804,ELECTRUM,Electric,L1,DNP3,Network/Nozomi,PROT:DNP3-ILLEGAL,High,Validated,,dnp3-disable-unsolicited-responses,"Detects DNP3 function code 21 (Disable Unsolicited Responses), which can be abused to suppress event/alarm reporting from an outstation to the master, masking subsequent malicious activity."
OTD-0009,IEC-104 unauthorized control from non-EWS,use-case,OT Threat Content,OT-UC-0009,SIGMA:ot-ics-soc/13,1,Control,T0855,ELECTRUM,Electric,L1,IEC-104,Network/Nozomi,PROT:IEC104-ILLEGAL,High,Production,02-detection/sigma/core-protocol/iec104-unauthorized-control.yml,iec-104-unauthorized-control-from-non-ews,"Detects an S7comm PLC control function requesting STOP, which halts CPU program execution. A high-impact command that should only occur during a planned, authorized maintenance action."
OTD-0010,IEC 61850 GOOSE spoofing/manipulation,use-case,OT Threat Content,OT-UC-0010,,0,Control,T0856,ELECTRUM,Electric,L1,GOOSE,Network/Nozomi,PROT:GOOSE-ANOMALY,High,Validated,,iec-61850-goose-spoofing-manipulation,
