OTD_ID,Title,Library_Name,Legacy_ID,ATTACK_Technique_IDs,Threat_Actors,Sectors,Purdue_Level,Protocol,Nozomi_Type_ID,Severity,LS_IDs,Onboarding_Tiers,Playbook_IDs,Query_Origin,Sentinel_KQL,Splunk_SPL,Sigma_Artifact
OTD-0001,External remote services abuse into OT/DMZ,OT Threat Content,OT-UC-0001,T0822,KAMACITE;VOLTZITE;BAUXITE,Electric;Oil & Gas;Water,L3.5,RDP/VPN,NET:NEW-LINK,High,LS-02;LS-03;LS-04;LS-20,Tier 1,PLAYBOOK-OT-06,scaffold,02-detection/queries/sentinel/OTD-0001__external-remote-services-abuse-into-ot-dmz.kql,02-detection/queries/splunk/OTD-0001__external-remote-services-abuse-into-ot-dmz.spl,
OTD-0002,Internet-accessible ICS device exposure,OT Threat Content,OT-UC-0002,T0883,BAUXITE,Water;Oil & Gas,L2,Modbus/HTTP,VI:NEW-NODE,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-07;PLAYBOOK-OT-08,scaffold,02-detection/queries/sentinel/OTD-0002__internet-accessible-ics-device-exposure.kql,02-detection/queries/splunk/OTD-0002__internet-accessible-ics-device-exposure.spl,02-detection/nozomi/internet-exposed-device.n2ql
OTD-0003,Unauthorized Modbus write to coils/registers,OT Threat Content,OT-UC-0003,T0855,CHERNOVITE,Manufacturing;Water;Oil & Gas,L1,Modbus,PROT:MODBUS-ILLEGAL,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-01;PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0003__unauthorized-modbus-write-to-coils-registers.kql,02-detection/queries/splunk/OTD-0003__unauthorized-modbus-write-to-coils-registers.spl,02-detection/sigma/core-protocol/modbus-unauthorized-write.yml
OTD-0004,Modbus FC08 diagnostic restart/listen-only,OT Threat Content,OT-UC-0004,T0816,CHERNOVITE,Manufacturing;Water,L1,Modbus,PROT:MODBUS-ILLEGAL,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-01;PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0004__modbus-fc08-diagnostic-restart-listen-only.kql,02-detection/queries/splunk/OTD-0004__modbus-fc08-diagnostic-restart-listen-only.spl,02-detection/sigma/core-protocol/modbus-fc08-restart.yml
OTD-0005,S7comm STOP CPU command,OT Threat Content,OT-UC-0005,T0816,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L1,S7comm,PROT:S7-ILLEGAL,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-06;PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0005__s7comm-stop-cpu-command.kql,02-detection/queries/splunk/OTD-0005__s7comm-stop-cpu-command.spl,02-detection/sigma/core-protocol/s7comm-stop-cpu.yml
OTD-0006,S7comm program/logic download to PLC,OT Threat Content,OT-UC-0006,T0843,CHERNOVITE,Manufacturing,L1,S7comm,SIGN:PACKET-RULE,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-03,scaffold,02-detection/queries/sentinel/OTD-0006__s7comm-program-logic-download-to-plc.kql,02-detection/queries/splunk/OTD-0006__s7comm-program-logic-download-to-plc.spl,
OTD-0007,DNP3 cold/warm restart function,OT Threat Content,OT-UC-0007,T0816,ELECTRUM,Electric,L1,DNP3,PROT:DNP3-ILLEGAL,High,LS-17;LS-18,Tier 3,PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0007__dnp3-cold-warm-restart-function.kql,02-detection/queries/splunk/OTD-0007__dnp3-cold-warm-restart-function.spl,02-detection/sigma/core-protocol/dnp3-restart.yml
OTD-0008,DNP3 disable unsolicited responses,OT Threat Content,OT-UC-0008,T0804,ELECTRUM,Electric,L1,DNP3,PROT:DNP3-ILLEGAL,High,LS-17;LS-18,Tier 3,PLAYBOOK-OT-02;PLAYBOOK-OT-07,scaffold,02-detection/queries/sentinel/OTD-0008__dnp3-disable-unsolicited-responses.kql,02-detection/queries/splunk/OTD-0008__dnp3-disable-unsolicited-responses.spl,
OTD-0009,IEC-104 unauthorized control from non-EWS,OT Threat Content,OT-UC-0009,T0855,ELECTRUM,Electric,L1,IEC-104,PROT:IEC104-ILLEGAL,High,LS-17;LS-18,Tier 3,PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0009__iec-104-unauthorized-control-from-non-ews.kql,02-detection/queries/splunk/OTD-0009__iec-104-unauthorized-control-from-non-ews.spl,02-detection/sigma/core-protocol/iec104-unauthorized-control.yml
OTD-0010,IEC 61850 GOOSE spoofing/manipulation,OT Threat Content,OT-UC-0010,T0856,ELECTRUM,Electric,L1,GOOSE,PROT:GOOSE-ANOMALY,High,LS-12;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-07,scaffold,02-detection/queries/sentinel/OTD-0010__iec-61850-goose-spoofing-manipulation.kql,02-detection/queries/splunk/OTD-0010__iec-61850-goose-spoofing-manipulation.spl,
OTD-0011,OPC UA anonymous/unencrypted session,OT Threat Content,OT-UC-0011,T0812,GRAPHITE,Manufacturing;Oil & Gas,L2,OPC UA,PROT:OPCUA-INSECURE,Medium,LS-18,Tier 3,PLAYBOOK-OT-07,scaffold,02-detection/queries/sentinel/OTD-0011__opc-ua-anonymous-unencrypted-session.kql,02-detection/queries/splunk/OTD-0011__opc-ua-anonymous-unencrypted-session.spl,
OTD-0012,EtherNet/IP CIP firmware update to controller,OT Threat Content,OT-UC-0012,T0857,CHERNOVITE,Manufacturing,L1,ENIP/CIP,PROT:ENIP-ILLEGAL,High,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0012__ethernet-ip-cip-firmware-update-to-controller.kql,02-detection/queries/splunk/OTD-0012__ethernet-ip-cip-firmware-update-to-controller.spl,
OTD-0013,Active network scan of OT subnet,OT Threat Content,OT-UC-0013,T0840,VOLTZITE;GRAPHITE,Electric;Oil & Gas;Water;Manufacturing,L2,TCP/UDP,NET:TCP-SYN-SCAN,Medium,LS-18,Tier 3,,compiled-from-sigma,02-detection/queries/sentinel/OTD-0013__active-network-scan-of-ot-subnet.kql,02-detection/queries/splunk/OTD-0013__active-network-scan-of-ot-subnet.spl,02-detection/sigma/core-protocol/ot-subnet-scan.yml
OTD-0014,New/unauthorized node on OT segment,OT Threat Content,OT-UC-0014,T0846,VOLTZITE,Electric;Oil & Gas;Water;Manufacturing,L2,ARP/Multi,NET:NEW-NODE,Medium,LS-18,Tier 3,PLAYBOOK-OT-08,compiled-from-sigma,02-detection/queries/sentinel/OTD-0014__new-unauthorized-node-on-ot-segment.kql,02-detection/queries/splunk/OTD-0014__new-unauthorized-node-on-ot-segment.spl,02-detection/sigma/it-dmz-ot-crosszone/23_first-time-asset-communication-across-a-zone-boundary.yml
OTD-0015,Rogue engineering workstation to PLC,OT Threat Content,OT-UC-0015,T0859,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L2,S7comm/ENIP,NET:NEW-LINK,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-01,scaffold,02-detection/queries/sentinel/OTD-0015__rogue-engineering-workstation-to-plc.kql,02-detection/queries/splunk/OTD-0015__rogue-engineering-workstation-to-plc.spl,
OTD-0016,Alarm suppression/modify alarm settings,OT Threat Content,OT-UC-0016,T0878,XENOTIME,Oil & Gas;Chemical,L2,HMI/Historian,SIGN:PACKET-RULE,High,LS-08;LS-10;LS-11,Tier 1;Tier 2,PLAYBOOK-OT-02,scaffold,02-detection/queries/sentinel/OTD-0016__alarm-suppression-modify-alarm-settings.kql,02-detection/queries/splunk/OTD-0016__alarm-suppression-modify-alarm-settings.spl,
OTD-0017,SIS key switch in PROGRAM mode,OT Threat Content,OT-UC-0017,T0858,XENOTIME,Oil & Gas;Chemical,L1,TriStation/Proprietary,PROT:MALFORMED-PACKET,Critical,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0017__sis-key-switch-in-program-mode.kql,02-detection/queries/splunk/OTD-0017__sis-key-switch-in-program-mode.spl,
OTD-0018,Malware transfer via SMB in OT,OT Threat Content,OT-UC-0018,T0867,ELECTRUM;DragonFly,Electric;Oil & Gas,L3,SMB,SIGN:MALWARE-DETECTED,High,LS-18,Tier 3,PLAYBOOK-OT-04,scaffold,02-detection/queries/sentinel/OTD-0018__malware-transfer-via-smb-in-ot.kql,02-detection/queries/splunk/OTD-0018__malware-transfer-via-smb-in-ot.spl,02-detection/nozomi/malware-smb-transfer.n2ql
OTD-0019,Known-bad C2/malicious IP contact from OT,OT Threat Content,OT-UC-0019,T0885,BAUXITE;KAMACITE,Electric;Oil & Gas;Water;Manufacturing,L3,IP/Multi,SIGN:MALICIOUS-IP,High,LS-18,Tier 3,,scaffold,02-detection/queries/sentinel/OTD-0019__known-bad-c2-malicious-ip-contact-from-ot.kql,02-detection/queries/splunk/OTD-0019__known-bad-c2-malicious-ip-contact-from-ot.spl,
OTD-0020,Removable media introduced to OT asset,OT Threat Content,OT-UC-0020,T0847,DragonFly,Manufacturing;Oil & Gas,L2,Host,N/A (Host-based),Medium,LS-08,Tier 1,PLAYBOOK-OT-04,scaffold,02-detection/queries/sentinel/OTD-0020__removable-media-introduced-to-ot-asset.kql,02-detection/queries/splunk/OTD-0020__removable-media-introduced-to-ot-asset.spl,
OTD-0021,Modbus enumeration and point/tag ID,OT Threat Content,OT-UC-0021,T0861,GRAPHITE,Manufacturing;Water,L1,Modbus,PROT:MODBUS-ILLEGAL,Medium,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-09,scaffold,02-detection/queries/sentinel/OTD-0021__modbus-enumeration-and-point-tag-id.kql,02-detection/queries/splunk/OTD-0021__modbus-enumeration-and-point-tag-id.spl,
OTD-0022,Brute force/repeated failed OT auth,OT Threat Content,OT-UC-0022,T0812,BAUXITE,Electric;Oil & Gas;Water,L2,App/Multi,N/A (App-based),Medium,LS-18,Tier 3,PLAYBOOK-OT-06,scaffold,02-detection/queries/sentinel/OTD-0022__brute-force-repeated-failed-ot-auth.kql,02-detection/queries/splunk/OTD-0022__brute-force-repeated-failed-ot-auth.spl,
OTD-0023,Denial-of-service flood against controller,OT Threat Content,OT-UC-0023,T0814,ELECTRUM,Manufacturing;Electric,L1,Multi,NET:HIGH-BANDWIDTH,High,LS-18,Tier 3,PLAYBOOK-OT-07,scaffold,02-detection/queries/sentinel/OTD-0023__denial-of-service-flood-against-controller.kql,02-detection/queries/splunk/OTD-0023__denial-of-service-flood-against-controller.spl,
OTD-0024,Historian/operational data exfiltration,OT Threat Content,OT-UC-0024,T0882,GRAPHITE;VOLTZITE,Oil & Gas;Manufacturing,L3,SQL/OPC,NET:NEW-LINK,Medium,LS-18,Tier 3,PLAYBOOK-OT-09,scaffold,02-detection/queries/sentinel/OTD-0024__historian-operational-data-exfiltration.kql,02-detection/queries/splunk/OTD-0024__historian-operational-data-exfiltration.spl,
OTD-0025,Time-sync (NTP) manipulation affecting SOE,OT Threat Content,OT-UC-0025,T0856,ELECTRUM,Electric,L2,NTP,PROT:MALFORMED-PACKET,Medium,LS-18,Tier 3,,scaffold,02-detection/queries/sentinel/OTD-0025__time-sync-ntp-manipulation-affecting-soe.kql,02-detection/queries/splunk/OTD-0025__time-sync-ntp-manipulation-affecting-soe.spl,
OTD-0026,Unauthorized wireless/cellular modem access,OT Threat Content,OT-UC-0026,T0860,BAUXITE,Water;Oil & Gas,L1,Cellular/RF,VI:NEW-NODE,Medium,LS-02;LS-18,Tier 1;Tier 3,PLAYBOOK-OT-08,scaffold,02-detection/queries/sentinel/OTD-0026__unauthorized-wireless-cellular-modem-access.kql,02-detection/queries/splunk/OTD-0026__unauthorized-wireless-cellular-modem-access.spl,
OTD-0027,PLC operating mode change to Program/Remote,OT Threat Content,OT-UC-0027,T0858,CHERNOVITE,Manufacturing;Electric,L1,S7comm/ENIP/Modbus,PROT:MODE-CHANGE,High,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-03,scaffold,02-detection/queries/sentinel/OTD-0027__plc-operating-mode-change-to-program-remote.kql,02-detection/queries/splunk/OTD-0027__plc-operating-mode-change-to-program-remote.spl,
OTD-0028,Unsigned/downgrade firmware load,OT Threat Content,OT-UC-0028,T0839,CHERNOVITE,Manufacturing;Electric,L1,Multi,PROT:MALFORMED-PACKET,High,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-03;PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0028__unsigned-downgrade-firmware-load.kql,02-detection/queries/splunk/OTD-0028__unsigned-downgrade-firmware-load.spl,
OTD-0029,Control-to-safety write/command,SIS Safety Detection,SIS-A1,T0855;T0836,,,L1-SIS,,,critical,LS-02;LS-07;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0029__control-to-safety-write-command.kql,02-detection/queries/splunk/OTD-0029__control-to-safety-write-command.spl,
OTD-0030,New comms path into SIS zone,SIS Safety Detection,SIS-A2,T0855,,,L1-SIS,,,high,LS-02;LS-07;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0030__new-comms-path-into-sis-zone.kql,02-detection/queries/splunk/OTD-0030__new-comms-path-into-sis-zone.spl,
OTD-0031,Reversed data direction at boundary,SIS Safety Detection,SIS-A3,T0855,,,L1-SIS,,,high,LS-02;LS-07;LS-18,Tier 1;Tier 2;Tier 3,,scaffold,02-detection/queries/sentinel/OTD-0031__reversed-data-direction-at-boundary.kql,02-detection/queries/splunk/OTD-0031__reversed-data-direction-at-boundary.spl,
OTD-0032,SIS traffic bypassing sanctioned gateway,SIS Safety Detection,SIS-A5,T0855,,,L1-SIS,,,high,LS-02;LS-07;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0032__sis-traffic-bypassing-sanctioned-gateway.kql,02-detection/queries/splunk/OTD-0032__sis-traffic-bypassing-sanctioned-gateway.spl,
OTD-0033,SIS program download,SIS Safety Detection,SIS-B2,T0843,,,L1-SIS,,,critical,LS-07;LS-08;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0033__sis-program-download.kql,02-detection/queries/splunk/OTD-0033__sis-program-download.spl,
OTD-0034,SIS program upload,SIS Safety Detection,SIS-B3,T0845,,,L1-SIS,,,high,LS-07;LS-08;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0034__sis-program-upload.kql,02-detection/queries/splunk/OTD-0034__sis-program-upload.spl,
OTD-0035,Key-switch/mode to PROGRAM/REMOTE,SIS Safety Detection,SIS-B4,T0858,,,L1-SIS,,,critical,LS-05;LS-07;LS-08,Tier 1;Tier 2,PLAYBOOK-OT-03,scaffold,02-detection/queries/sentinel/OTD-0035__key-switch-mode-to-program-remote.kql,02-detection/queries/splunk/OTD-0035__key-switch-mode-to-program-remote.spl,
OTD-0036,SIS logic differs from golden baseline,SIS Safety Detection,SIS-B5,T0889,,,L1-SIS,,,critical,LS-07;LS-08,Tier 1;Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0036__sis-logic-differs-from-golden-baseline.kql,02-detection/queries/splunk/OTD-0036__sis-logic-differs-from-golden-baseline.spl,
OTD-0037,SIS firmware change,SIS Safety Detection,SIS-B6,T0839;T0800,,,L1-SIS,,,critical,LS-07;LS-08;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0037__sis-firmware-change.kql,02-detection/queries/splunk/OTD-0037__sis-firmware-change.spl,
OTD-0038,SIS engineering off-window/new host,SIS Safety Detection,SIS-B7,T0868,,,L1-SIS,,,high,LS-07;LS-08;LS-18,Tier 1;Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0038__sis-engineering-off-window-new-host.kql,02-detection/queries/splunk/OTD-0038__sis-engineering-off-window-new-host.spl,
OTD-0039,Safety PV trending toward trip,SIS Safety Detection,SIS-C1,T0880;T0837,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0039__safety-pv-trending-toward-trip.kql,02-detection/queries/splunk/OTD-0039__safety-pv-trending-toward-trip.spl,
OTD-0040,Trip setpoint/safety parameter modification,SIS Safety Detection,SIS-C2,T0836;T0838,,,L1-SIS,,,critical,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0040__trip-setpoint-safety-parameter-modification.kql,02-detection/queries/splunk/OTD-0040__trip-setpoint-safety-parameter-modification.spl,
OTD-0041,Unexpected SIF trip/demand,SIS Safety Detection,SIS-C3,T0880,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0041__unexpected-sif-trip-demand.kql,02-detection/queries/splunk/OTD-0041__unexpected-sif-trip-demand.spl,
OTD-0042,Expected trip absent/alarm suppression,SIS Safety Detection,SIS-C4,T0878;T0837,,,L1-SIS,,,critical,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0042__expected-trip-absent-alarm-suppression.kql,02-detection/queries/splunk/OTD-0042__expected-trip-absent-alarm-suppression.spl,
OTD-0043,Final-element command-response mismatch,SIS Safety Detection,SIS-C5,T0835;T0856,,,L1-SIS,,,critical,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0043__final-element-command-response-mismatch.kql,02-detection/queries/splunk/OTD-0043__final-element-command-response-mismatch.spl,
OTD-0044,De-energize-to-trip circuit anomaly,SIS Safety Detection,SIS-C6,T0837,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0044__de-energize-to-trip-circuit-anomaly.kql,02-detection/queries/splunk/OTD-0044__de-energize-to-trip-circuit-anomaly.spl,
OTD-0045,Voting degradation,SIS Safety Detection,SIS-D1,T0837,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0045__voting-degradation.kql,02-detection/queries/splunk/OTD-0045__voting-degradation.spl,
OTD-0046,Redundant safety-sensor disagreement,SIS Safety Detection,SIS-D2,T0856,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0046__redundant-safety-sensor-disagreement.kql,02-detection/queries/splunk/OTD-0046__redundant-safety-sensor-disagreement.spl,
OTD-0047,Frozen/replayed safety input,SIS Safety Detection,SIS-D3,T0856,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0047__frozen-replayed-safety-input.kql,02-detection/queries/splunk/OTD-0047__frozen-replayed-safety-input.spl,
OTD-0048,Loss of independence (shared/BPCS input),SIS Safety Detection,SIS-D4,T0856;T0835,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0048__loss-of-independence-shared-bpcs-input.kql,02-detection/queries/splunk/OTD-0048__loss-of-independence-shared-bpcs-input.spl,
OTD-0049,Safety input bad-quality spike,SIS Safety Detection,SIS-D5,T0815,,,L1-SIS,,,medium,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0049__safety-input-bad-quality-spike.kql,02-detection/queries/splunk/OTD-0049__safety-input-bad-quality-spike.spl,
OTD-0050,SIF bypass/inhibit activated,SIS Safety Detection,SIS-E1,T0837,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0050__sif-bypass-inhibit-activated.kql,02-detection/queries/splunk/OTD-0050__sif-bypass-inhibit-activated.spl,
OTD-0051,Long-duration/overdue bypass,SIS Safety Detection,SIS-E2,T0837,,,L1-SIS,,,high,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0051__long-duration-overdue-bypass.kql,02-detection/queries/splunk/OTD-0051__long-duration-overdue-bypass.spl,
OTD-0052,Bypass from unexpected source/off-window,SIS Safety Detection,SIS-E3,T0837,,,L1-SIS,,,high,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0052__bypass-from-unexpected-source-off-window.kql,02-detection/queries/splunk/OTD-0052__bypass-from-unexpected-source-off-window.spl,
OTD-0053,Forced I/O on safety controller,SIS Safety Detection,SIS-E4,T0835,,,L1-SIS,,,critical,LS-07,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0053__forced-i-o-on-safety-controller.kql,02-detection/queries/splunk/OTD-0053__forced-i-o-on-safety-controller.spl,
OTD-0054,Multiple simultaneous bypasses,SIS Safety Detection,SIS-E5,T0837,,,L1-SIS,,,critical,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0054__multiple-simultaneous-bypasses.kql,02-detection/queries/splunk/OTD-0054__multiple-simultaneous-bypasses.spl,
OTD-0055,SIS-BPCS comm loss (loss of view),SIS Safety Detection,SIS-F1,T0804;T0837,,,L1-SIS,,,high,LS-07;LS-10;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0055__sis-bpcs-comm-loss-loss-of-view.kql,02-detection/queries/splunk/OTD-0055__sis-bpcs-comm-loss-loss-of-view.spl,
OTD-0056,SIS diagnostic fault/degraded module,SIS Safety Detection,SIS-F2,T0837,,,L1-SIS,,,high,LS-07,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0056__sis-diagnostic-fault-degraded-module.kql,02-detection/queries/splunk/OTD-0056__sis-diagnostic-fault-degraded-module.spl,
OTD-0057,Spurious trip-rate anomaly,SIS Safety Detection,SIS-F3,T0880,,,L1-SIS,,,medium,LS-07;LS-10,Tier 2,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0057__spurious-trip-rate-anomaly.kql,02-detection/queries/splunk/OTD-0057__spurious-trip-rate-anomaly.spl,
OTD-0058,SIS controller restart/power event,SIS Safety Detection,SIS-F4,T0816,,,L1-SIS,,,high,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0058__sis-controller-restart-power-event.kql,02-detection/queries/splunk/OTD-0058__sis-controller-restart-power-event.spl,
OTD-0059,SIS time/clock skew,SIS Safety Detection,SIS-F5,T0856,,,L1-SIS,,,medium,LS-07;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-05,scaffold,02-detection/queries/sentinel/OTD-0059__sis-time-clock-skew.kql,02-detection/queries/splunk/OTD-0059__sis-time-clock-skew.spl,
OTD-0060,Modbus Exception Response Flood (Possible Scanning or Fuzzing),Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/03,T0846;T0888,,,,modbus,,medium,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0060__modbus-exception-response-flood-possible-scanning-or-fuzzing.kql,02-detection/queries/splunk/OTD-0060__modbus-exception-response-flood-possible-scanning-or-fuzzing.spl,02-detection/sigma/ot-ics-soc/03_modbus-exception-response-flood-possible-scanning-or-fuzzing.yml
OTD-0061,Modbus Write to Coil/Register Outside Approved Change Window,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/04,T0831;T0855,,,,modbus,,medium,LS-06;LS-18,Tier 2;Tier 3,PLAYBOOK-OT-01,compiled-from-sigma,02-detection/queries/sentinel/OTD-0061__modbus-write-to-coil-register-outside-approved-change-window.kql,02-detection/queries/splunk/OTD-0061__modbus-write-to-coil-register-outside-approved-change-window.spl,02-detection/sigma/ot-ics-soc/04_modbus-write-to-coil-register-outside-approved-change-window.yml
OTD-0062,DNP3 Direct Operate Without Preceding Select (Bypass of Select-Before-Operate),Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/07,T0855;T0858,,,,dnp3,,high,LS-17;LS-18,Tier 3,PLAYBOOK-OT-05,compiled-from-sigma,02-detection/queries/sentinel/OTD-0062__dnp3-direct-operate-without-preceding-select-bypass-of-selec.kql,02-detection/queries/splunk/OTD-0062__dnp3-direct-operate-without-preceding-select-bypass-of-selec.spl,02-detection/sigma/ot-ics-soc/07_dnp3-direct-operate-without-preceding-select-bypass-of-selec.yml
OTD-0063,DNP3 CROB Control Command Outside Maintenance Window,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/08,T0855,,,,dnp3,,medium,LS-17;LS-18,Tier 3,PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0063__dnp3-crob-control-command-outside-maintenance-window.kql,02-detection/queries/splunk/OTD-0063__dnp3-crob-control-command-outside-maintenance-window.spl,02-detection/sigma/ot-ics-soc/08_dnp3-crob-control-command-outside-maintenance-window.yml
OTD-0064,OPC UA Untrusted or Self-Signed Certificate Accepted,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/10,T0822;T0859,,,,opcua,,high,LS-18,Tier 3,PLAYBOOK-OT-05,compiled-from-sigma,02-detection/queries/sentinel/OTD-0064__opc-ua-untrusted-or-self-signed-certificate-accepted.kql,02-detection/queries/splunk/OTD-0064__opc-ua-untrusted-or-self-signed-certificate-accepted.spl,02-detection/sigma/ot-ics-soc/10_opc-ua-untrusted-or-self-signed-certificate-accepted.yml
OTD-0065,OPC UA Write Request to Critical Node from Unauthorized Client,Sigma: OT/ICS SOC,SIGMA:ot-ics-soc/11,T0836;T0855,,,,opcua,,high,LS-18,Tier 3,PLAYBOOK-OT-07,compiled-from-sigma,02-detection/queries/sentinel/OTD-0065__opc-ua-write-request-to-critical-node-from-unauthorized-clie.kql,02-detection/queries/splunk/OTD-0065__opc-ua-write-request-to-critical-node-from-unauthorized-clie.spl,02-detection/sigma/ot-ics-soc/11_opc-ua-write-request-to-critical-node-from-unauthorized-clie.yml
