OTD_ID,Title,Library_Name,LS_IDs,Log_Sources,Onboarding_Tiers,Reachable_At_Tier1
OTD-0001,External remote services abuse into OT/DMZ,OT Threat Content,LS-02;LS-03;LS-04;LS-20,Firewall (OT);Jump Host;VPN Server;OT Identity / Directory,Tier 1,Yes
OTD-0002,Internet-accessible ICS device exposure,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0003,Unauthorized Modbus write to coils/registers,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0004,Modbus FC08 diagnostic restart/listen-only,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0005,S7comm STOP CPU command,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0006,S7comm program/logic download to PLC,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0007,DNP3 cold/warm restart function,OT Threat Content,LS-17;LS-18,RTU;Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0008,DNP3 disable unsolicited responses,OT Threat Content,LS-17;LS-18,RTU;Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0009,IEC-104 unauthorized control from non-EWS,OT Threat Content,LS-17;LS-18,RTU;Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0010,IEC 61850 GOOSE spoofing/manipulation,OT Threat Content,LS-12;LS-18,IED;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0011,OPC UA anonymous/unencrypted session,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0012,EtherNet/IP CIP firmware update to controller,OT Threat Content,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0013,Active network scan of OT subnet,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0014,New/unauthorized node on OT segment,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0015,Rogue engineering workstation to PLC,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0016,Alarm suppression/modify alarm settings,OT Threat Content,LS-08;LS-10;LS-11,Workstations (Engineering/Operator);Data Historian;HMI,Tier 1;Tier 2,Yes
OTD-0017,SIS key switch in PROGRAM mode,OT Threat Content,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0018,Malware transfer via SMB in OT,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0019,Known-bad C2/malicious IP contact from OT,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0020,Removable media introduced to OT asset,OT Threat Content,LS-08,Workstations (Engineering/Operator),Tier 1,Yes
OTD-0021,Modbus enumeration and point/tag ID,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0022,Brute force/repeated failed OT auth,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0023,Denial-of-service flood against controller,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0024,Historian/operational data exfiltration,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0025,Time-sync (NTP) manipulation affecting SOE,OT Threat Content,LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,No
OTD-0026,Unauthorized wireless/cellular modem access,OT Threat Content,LS-02;LS-18,Firewall (OT);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 3,Yes
OTD-0027,PLC operating mode change to Program/Remote,OT Threat Content,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0028,Unsigned/downgrade firmware load,OT Threat Content,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0029,Control-to-safety write/command,SIS Safety Detection,LS-02;LS-07;LS-18,Firewall (OT);Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0030,New comms path into SIS zone,SIS Safety Detection,LS-02;LS-07;LS-18,Firewall (OT);Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0031,Reversed data direction at boundary,SIS Safety Detection,LS-02;LS-07;LS-18,Firewall (OT);Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0032,SIS traffic bypassing sanctioned gateway,SIS Safety Detection,LS-02;LS-07;LS-18,Firewall (OT);Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0033,SIS program download,SIS Safety Detection,LS-07;LS-08;LS-18,Safety Controller;Workstations (Engineering/Operator);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0034,SIS program upload,SIS Safety Detection,LS-07;LS-08;LS-18,Safety Controller;Workstations (Engineering/Operator);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0035,Key-switch/mode to PROGRAM/REMOTE,SIS Safety Detection,LS-05;LS-07;LS-08,Switch;Safety Controller;Workstations (Engineering/Operator),Tier 1;Tier 2,Yes
OTD-0036,SIS logic differs from golden baseline,SIS Safety Detection,LS-07;LS-08,Safety Controller;Workstations (Engineering/Operator),Tier 1;Tier 2,Yes
OTD-0037,SIS firmware change,SIS Safety Detection,LS-07;LS-08;LS-18,Safety Controller;Workstations (Engineering/Operator);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0038,SIS engineering off-window/new host,SIS Safety Detection,LS-07;LS-08;LS-18,Safety Controller;Workstations (Engineering/Operator);Network Traffic (SPAN/TAP/IDS),Tier 1;Tier 2;Tier 3,Yes
OTD-0039,Safety PV trending toward trip,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0040,Trip setpoint/safety parameter modification,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0041,Unexpected SIF trip/demand,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0042,Expected trip absent/alarm suppression,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0043,Final-element command-response mismatch,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0044,De-energize-to-trip circuit anomaly,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0045,Voting degradation,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0046,Redundant safety-sensor disagreement,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0047,Frozen/replayed safety input,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0048,Loss of independence (shared/BPCS input),SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0049,Safety input bad-quality spike,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0050,SIF bypass/inhibit activated,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0051,Long-duration/overdue bypass,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0052,Bypass from unexpected source/off-window,SIS Safety Detection,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0053,Forced I/O on safety controller,SIS Safety Detection,LS-07,Safety Controller,Tier 2,No
OTD-0054,Multiple simultaneous bypasses,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0055,SIS-BPCS comm loss (loss of view),SIS Safety Detection,LS-07;LS-10;LS-18,Safety Controller;Data Historian;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0056,SIS diagnostic fault/degraded module,SIS Safety Detection,LS-07,Safety Controller,Tier 2,No
OTD-0057,Spurious trip-rate anomaly,SIS Safety Detection,LS-07;LS-10,Safety Controller;Data Historian,Tier 2,No
OTD-0058,SIS controller restart/power event,SIS Safety Detection,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0059,SIS time/clock skew,SIS Safety Detection,LS-07;LS-18,Safety Controller;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
OTD-0060,Modbus Exception Response Flood (Possible Scanning or Fuzzing),Sigma: OT/ICS SOC,LS-06;LS-18,PLC;Network Traffic (SPAN/TAP/IDS),Tier 2;Tier 3,No
