LS_ID,Log_Source,Onboarding_Tier,Importance,Log_Ease,Detection_Count,Technique_Count,ATTACK_Technique_IDs
LS-01,Control Server / SCADA Server,Tier 1,Critical,Easy,0,0,
LS-02,Firewall (OT),Tier 1,Critical,Easy,77,10,T0822;T0836;T0840;T0846;T0855;T0860;T0866;T0867;T0885;T0886
LS-03,Jump Host,Tier 1,Critical,Easy,4,3,T0822;T0846;T0855
LS-04,VPN Server,Tier 1,Critical,Easy,4,2,T0822;T0883
LS-05,Switch,Tier 1,Critical,Medium,2,3,T0822;T0846;T0858
LS-06,PLC,Tier 2,Critical,Hard,21,16,T0813;T0814;T0816;T0831;T0836;T0843;T0845;T0846;T0855;T0858;T0859;T0861;T0871;T0883;T0885;T0888
LS-07,Safety Controller,Tier 2,Critical,Hard,37,20,T0800;T0804;T0815;T0816;T0835;T0836;T0837;T0838;T0839;T0843;T0845;T0855;T0856;T0857;T0858;T0859;T0868;T0878;T0880;T0889
LS-08,Workstations (Engineering/Operator),Tier 1,Critical,Medium,48,19,T0800;T0811;T0817;T0826;T0829;T0831;T0839;T0843;T0845;T0847;T0851;T0858;T0859;T0867;T0868;T0878;T0883;T0888;T0889
LS-09,Data Gateway,Tier 2,High,Medium,0,0,
LS-10,Data Historian,Tier 2,High,Easy,24,11,T0804;T0815;T0831;T0832;T0835;T0836;T0837;T0838;T0856;T0878;T0880
LS-11,HMI,Tier 2,High,Easy,1,1,T0878
LS-12,IED,Tier 2,High,Easy,6,3,T0836;T0855;T0856
LS-13,Router,Tier 2,High,Medium,0,0,
LS-14,Application Server,Tier 3,Medium,Medium,18,3,T0859;T0883;T0888
LS-15,DCS Controller,Tier 3,High,Hard,0,0,
LS-16,PAC,Tier 3,Critical,Hard,0,0,
LS-17,RTU,Tier 3,High,Hard,16,12,T0804;T0814;T0816;T0831;T0836;T0846;T0851;T0855;T0856;T0858;T0879;T0888
LS-18,Network Traffic (SPAN/TAP/IDS),Tier 3,High,Medium,138,37,T0800;T0801;T0804;T0806;T0810;T0811;T0812;T0813;T0814;T0816;T0822;T0826;T0831;T0836;T0837;T0839;T0840;T0843;T0845;T0846;T0851;T0855;T0856;T0857;T0858
LS-19,Field I/O,Tier 4,Low,Nightmare,0,0,
