FR,FR_Code,Requirement_ID,Type,Implementation_Summary,Minimum_SL_C,Petrochemical_Evidence_Examples,Assessment_Status,Gap,Compensating_Countermeasure,Owner,Evidence_Link,Review_Date
"FR1","IAC","SR 1.1","SR","Identify and authenticate human users","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.1 RE1","RE","Use unique identities for people","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.1 RE2","RE","Require multiple factors over untrusted networks","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.1 RE3","RE","Require multiple factors on every network","4","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.2","SR","Authenticate software processes and devices","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.2 RE1","RE","Assign unique authenticated identities to processes and devices","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.3","SR","Manage accounts through their lifecycle","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.3 RE1","RE","Centralize account administration","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.4","SR","Govern identifiers through their lifecycle","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.5","SR","Protect and manage authenticators","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.5 RE1","RE","Hardware-protect process identity credentials","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.6","SR","Control wireless access","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.6 RE1","RE","Uniquely authenticate wireless users and devices","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.7","SR","Enforce adequate password authentication strength","1","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.7 RE1","RE","Control human password generation and lifetime","3","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.7 RE2","RE","Control password lifetime for every user type","4","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.8","SR","Manage PKI certificates correctly","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
"FR1","IAC","SR 1.9","SR","Use sufficiently strong public-key authentication","2","Account records, MFA configuration, certificate inventory and remote-access approvals",,,,,,
