UC_ID,Title,Category,ATTACK_Tactic,ATTACK_Technique_ID,ATTACK_Technique,Threat_Actors,Sectors,Purdue_Level,Protocol,Primary_Data_Source,Nozomi_Type_ID,Detection_Ref,Detection_Type,Severity,Fidelity,Lifecycle_Stage,Author
OT-UC-0001,External remote services abuse into OT/DMZ,Access,Initial Access,T0822,External Remote Services,KAMACITE;VOLTZITE;BAUXITE,Electric;Oil & Gas;Water,L3.5,RDP/VPN,Firewall/VPN,NET:NEW-LINK,sigma/external-remote-services-into-ot.yml,Sigma+N2QL,High,Medium,Validated,Mahesh Reddy
OT-UC-0002,Internet-accessible ICS device exposure,Access,Initial Access,T0883,Internet Accessible Device,BAUXITE,Water;Oil & Gas,L2,Modbus/HTTP,Asset Inventory+External Scan,VI:NEW-NODE,n2ql/internet-exposed-device.n2ql,N2QL,High,Medium,Validated,Mahesh Reddy
OT-UC-0003,Unauthorized Modbus write to coils/registers,Control,Impair Process Control,T0855,Unauthorized Command Message,CHERNOVITE,Manufacturing;Water;Oil & Gas,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,sigma/modbus-unauthorized-write.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0004,Modbus FC08 diagnostic restart/listen-only,Denial,Inhibit Response Function,T0816,Device Restart/Shutdown,CHERNOVITE,Manufacturing;Water,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,sigma/modbus-fc08-restart.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0005,S7comm STOP CPU command,Denial,Inhibit Response Function,T0816,Device Restart/Shutdown,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L1,S7comm,Network/Nozomi,PROT:S7-ILLEGAL,sigma/s7comm-stop-cpu.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0006,S7comm program/logic download to PLC,Control,Lateral Movement,T0843,Program Download,CHERNOVITE,Manufacturing,L1,S7comm,Network/Nozomi,SIGN:PACKET-RULE,sigma/s7comm-program-download.yml,Sigma,High,High,Validated,Mahesh Reddy
OT-UC-0007,DNP3 cold/warm restart function,Denial,Inhibit Response Function,T0816,Device Restart/Shutdown,ELECTRUM,Electric,L1,DNP3,Network/Nozomi,PROT:DNP3-ILLEGAL,sigma/dnp3-restart.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0008,DNP3 disable unsolicited responses,Evasion,Inhibit Response Function,T0804,Block Reporting Message,ELECTRUM,Electric,L1,DNP3,Network/Nozomi,PROT:DNP3-ILLEGAL,sigma/dnp3-block-reporting.yml,Sigma,High,Medium,Validated,Mahesh Reddy
OT-UC-0009,IEC-104 unauthorized control from non-EWS,Control,Impair Process Control,T0855,Unauthorized Command Message,ELECTRUM,Electric,L1,IEC-104,Network/Nozomi,PROT:IEC104-ILLEGAL,sigma/iec104-unauthorized-control.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0010,IEC 61850 GOOSE spoofing/manipulation,Control,Impair Process Control,T0856,Spoof Reporting Message,ELECTRUM,Electric,L1,GOOSE,Network/Nozomi,PROT:GOOSE-ANOMALY,sigma/iec61850-goose-spoof.yml,Sigma+N2QL,High,Medium,Validated,Mahesh Reddy
OT-UC-0011,OPC UA anonymous/unencrypted session,Access,Lateral Movement,T0812,Default Credentials,GRAPHITE,Manufacturing;Oil & Gas,L2,OPC UA,Network/Nozomi,PROT:OPCUA-INSECURE,sigma/opcua-anonymous-session.yml,Sigma+N2QL,Medium,Medium,Validated,Mahesh Reddy
OT-UC-0012,EtherNet/IP CIP firmware update to controller,Persistence,Persistence,T0857,System Firmware,CHERNOVITE,Manufacturing,L1,ENIP/CIP,Network/Nozomi,PROT:ENIP-ILLEGAL,sigma/enip-firmware-update.yml,Sigma,High,Medium,Validated,Mahesh Reddy
OT-UC-0013,Active network scan of OT subnet,Recon,Discovery,T0840,Network Connection Enumeration,VOLTZITE;GRAPHITE,Electric;Oil & Gas;Water;Manufacturing,L2,TCP/UDP,Network/Nozomi,NET:TCP-SYN-SCAN,sigma/ot-subnet-scan.yml,Sigma+N2QL,Medium,High,Production,Mahesh Reddy
OT-UC-0014,New/unauthorized node on OT segment,Recon,Discovery,T0846,Remote System Discovery,VOLTZITE,Electric;Oil & Gas;Water;Manufacturing,L2,ARP/Multi,Network/Nozomi,NET:NEW-NODE,n2ql/new-node-critical-zone.n2ql,N2QL,Medium,High,Production,Mahesh Reddy
OT-UC-0015,Rogue engineering workstation to PLC,Access,Lateral Movement,T0859,Valid Accounts,CHERNOVITE;ELECTRUM,Manufacturing;Oil & Gas,L2,S7comm/ENIP,Network/Nozomi,NET:NEW-LINK,sigma/rogue-ews-to-plc.yml,Sigma+N2QL,High,Medium,Validated,Mahesh Reddy
OT-UC-0016,Alarm suppression/modify alarm settings,Evasion,Inhibit Response Function,T0878,Alarm Suppression,XENOTIME,Oil & Gas;Chemical,L2,HMI/Historian,Endpoint/App Log,SIGN:PACKET-RULE,sigma/alarm-suppression.yml,Sigma,High,Low,In-Development,Mahesh Reddy
OT-UC-0017,SIS key switch in PROGRAM mode,Safety,Evasion,T0858,Change Operating Mode,XENOTIME,Oil & Gas;Chemical,L1,TriStation/Proprietary,Network/Nozomi,PROT:MALFORMED-PACKET,sigma/sis-program-mode.yml,Sigma+N2QL,Critical,Medium,Validated,Mahesh Reddy
OT-UC-0018,Malware transfer via SMB in OT,Malware,Lateral Movement,T0867,Lateral Tool Transfer,ELECTRUM;DragonFly,Electric;Oil & Gas,L3,SMB,Network/Nozomi,SIGN:MALWARE-DETECTED,n2ql/malware-smb-transfer.n2ql,Native+Sigma,High,High,Production,Mahesh Reddy
OT-UC-0019,Known-bad C2/malicious IP contact from OT,C2,Command and Control,T0885,Commonly Used Port,BAUXITE;KAMACITE,Electric;Oil & Gas;Water;Manufacturing,L3,IP/Multi,Network/Nozomi,SIGN:MALICIOUS-IP,sigma/ot-c2-malicious-ip.yml,Sigma+STIX,High,High,Production,Mahesh Reddy
OT-UC-0020,Removable media introduced to OT asset,Malware,Initial Access,T0847,Replication Through Removable Media,DragonFly,Manufacturing;Oil & Gas,L2,Host,Endpoint/EDR,N/A (Host-based),sigma/removable-media-ot.yml,Sigma,Medium,Medium,Validated,Mahesh Reddy
OT-UC-0021,Modbus enumeration and point/tag ID,Recon,Collection,T0861,Point & Tag Identification,GRAPHITE,Manufacturing;Water,L1,Modbus,Network/Nozomi,PROT:MODBUS-ILLEGAL,sigma/modbus-enumeration.yml,Sigma+N2QL,Medium,Medium,Validated,Mahesh Reddy
OT-UC-0022,Brute force/repeated failed OT auth,Access,Lateral Movement,T0812,Default Credentials,BAUXITE,Electric;Oil & Gas;Water,L2,App/Multi,App Log,N/A (App-based),sigma/ot-auth-bruteforce.yml,Sigma,Medium,High,Production,Mahesh Reddy
OT-UC-0023,Denial-of-service flood against controller,Denial,Inhibit Response Function,T0814,Denial of Service,ELECTRUM,Manufacturing;Electric,L1,Multi,Network/Nozomi,NET:HIGH-BANDWIDTH,sigma/controller-dos-flood.yml,Sigma+N2QL,High,Medium,Validated,Mahesh Reddy
OT-UC-0024,Historian/operational data exfiltration,Exfil,Collection,T0882,Theft of Operational Information,GRAPHITE;VOLTZITE,Oil & Gas;Manufacturing,L3,SQL/OPC,Network/App Log,NET:NEW-LINK,sigma/historian-exfiltration.yml,Sigma,Medium,Low,In-Development,Mahesh Reddy
OT-UC-0025,Time-sync (NTP) manipulation affecting SOE,Evasion,Evasion,T0856,Spoof Reporting Message,ELECTRUM,Electric,L2,NTP,Network/Nozomi,PROT:MALFORMED-PACKET,sigma/ntp-manipulation.yml,Sigma,Medium,Low,Proposed,Mahesh Reddy
OT-UC-0026,Unauthorized wireless/cellular modem access,Access,Initial Access,T0860,Wireless Compromise,BAUXITE,Water;Oil & Gas,L1,Cellular/RF,Network/Firewall,VI:NEW-NODE,sigma/wireless-modem-access.yml,Sigma,Medium,Low,Proposed,Mahesh Reddy
OT-UC-0027,PLC operating mode change to Program/Remote,Control,Evasion,T0858,Change Operating Mode,CHERNOVITE,Manufacturing;Electric,L1,S7comm/ENIP/Modbus,Network/Nozomi,PROT:MODE-CHANGE,sigma/plc-mode-change.yml,Sigma+N2QL,High,High,Production,Mahesh Reddy
OT-UC-0028,Unsigned/downgrade firmware load,Persistence,Persistence,T0839,Module Firmware,CHERNOVITE,Manufacturing;Electric,L1,Multi,Network/Nozomi,PROT:MALFORMED-PACKET,sigma/firmware-downgrade.yml,Sigma,High,Medium,Validated,Mahesh Reddy
