OTD_ID,Title,Severity,Playbook_IDs,Routing,Has_Playbook
OTD-0001,External remote services abuse into OT/DMZ,High,PLAYBOOK-OT-06,explicit,Yes
OTD-0002,Internet-accessible ICS device exposure,High,PLAYBOOK-OT-07;PLAYBOOK-OT-08,explicit,Yes
OTD-0003,Unauthorized Modbus write to coils/registers,High,PLAYBOOK-OT-01;PLAYBOOK-OT-07,explicit,Yes
OTD-0004,Modbus FC08 diagnostic restart/listen-only,High,PLAYBOOK-OT-01;PLAYBOOK-OT-07,explicit,Yes
OTD-0005,S7comm STOP CPU command,High,PLAYBOOK-OT-06;PLAYBOOK-OT-07,explicit,Yes
OTD-0006,S7comm program/logic download to PLC,High,PLAYBOOK-OT-03,explicit,Yes
OTD-0007,DNP3 cold/warm restart function,High,PLAYBOOK-OT-07,explicit,Yes
OTD-0008,DNP3 disable unsolicited responses,High,PLAYBOOK-OT-02;PLAYBOOK-OT-07,explicit,Yes
OTD-0009,IEC-104 unauthorized control from non-EWS,High,PLAYBOOK-OT-07,explicit,Yes
OTD-0010,IEC 61850 GOOSE spoofing/manipulation,High,PLAYBOOK-OT-07,family,Yes
OTD-0011,OPC UA anonymous/unencrypted session,Medium,PLAYBOOK-OT-07,family,Yes
OTD-0012,EtherNet/IP CIP firmware update to controller,High,PLAYBOOK-OT-05,family,Yes
OTD-0013,Active network scan of OT subnet,Medium,,none,No
OTD-0014,New/unauthorized node on OT segment,Medium,PLAYBOOK-OT-08,explicit,Yes
OTD-0015,Rogue engineering workstation to PLC,High,PLAYBOOK-OT-01,explicit,Yes
OTD-0016,Alarm suppression/modify alarm settings,High,PLAYBOOK-OT-02,explicit,Yes
OTD-0017,SIS key switch in PROGRAM mode,Critical,PLAYBOOK-OT-05,explicit,Yes
OTD-0018,Malware transfer via SMB in OT,High,PLAYBOOK-OT-04,explicit,Yes
OTD-0019,Known-bad C2/malicious IP contact from OT,High,,none,No
OTD-0020,Removable media introduced to OT asset,Medium,PLAYBOOK-OT-04,explicit,Yes
OTD-0021,Modbus enumeration and point/tag ID,Medium,PLAYBOOK-OT-09,family,Yes
OTD-0022,Brute force/repeated failed OT auth,Medium,PLAYBOOK-OT-06,family,Yes
OTD-0023,Denial-of-service flood against controller,High,PLAYBOOK-OT-07,family,Yes
OTD-0024,Historian/operational data exfiltration,Medium,PLAYBOOK-OT-09,family,Yes
OTD-0025,Time-sync (NTP) manipulation affecting SOE,Medium,,none,No
