Category_ID,Function,Category,OT_Interpretation,Current_Profile,Target_Profile,Priority,Gap,Action,Owner,Due_Date,Evidence,Status
"GV.OC","Govern","Organizational Context","Business/process mission, stakeholders, legal and critical-service dependencies",,,,,,,,,,
"GV.RM","Govern","Risk Management Strategy","Risk appetite, safety/environment/production criteria and prioritization",,,,,,,,,,
"GV.RR","Govern","Roles Responsibilities Authorities","Corporate IT, SOC, operations, control, safety, OEM and incident authority",,,,,,,,,,
"GV.PO","Govern","Policy","IT/OT policy, remote access, MOC, exceptions and enforcement",,,,,,,,,,
"GV.OV","Govern","Oversight","Performance, risk acceptance, audits, exercises and corrective actions",,,,,,,,,,
"GV.SC","Govern","Cybersecurity Supply Chain Risk Management","OEM/integrator access, vulnerability handling, support life and contracts",,,,,,,,,,
"ID.AM","Identify","Asset Management","IT inventory plus DCS PLC SIS SCADA gateway firmware zones and owners",,,,,,,,,,
"ID.RA","Identify","Risk Assessment","Threat vulnerability likelihood and process consequence by zone/conduit",,,,,,,,,,
"ID.IM","Identify","Improvement","Lessons from incidents, exercises, tests and operations changes",,,,,,,,,,
"PR.AA","Protect","Identity Management Authentication Access Control","MFA, RBAC, engineering access, service accounts and device trust",,,,,,,,,,
"PR.AT","Protect","Awareness and Training","Role-based IT, OT, operator, engineer, vendor and executive training",,,,,,,,,,
"PR.DS","Protect","Data Security","Protect configurations, logic, credentials, recipes, logs and backups",,,,,,,,,,
"PR.PS","Protect","Platform Security","Secure configuration, patching, allowlisting and controlled maintenance",,,,,,,,,,
"PR.IR","Protect","Technology Infrastructure Resilience","Segmentation, redundancy, capacity, backups, UPS and fail-safe design",,,,,,,,,,
"DE.CM","Detect","Continuous Monitoring","Nozomi, SIEM, EDR, firewall, identity, process and monitoring health",,,,,,,,,,
"DE.AE","Detect","Adverse Event Analysis","Correlate alerts with assets, protocol functions, process state and MOC",,,,,,,,,,
"RS.MA","Respond","Incident Management","Declare, prioritize, coordinate and control OT incident lifecycle",,,,,,,,,,
"RS.AN","Respond","Incident Analysis","Validate, scope, preserve evidence and determine process/cyber impact",,,,,,,,,,
"RS.CO","Respond","Incident Response Reporting Communication","Control-room, management, safety, regulator, customer and supplier communications",,,,,,,,,,
"RS.MI","Respond","Incident Mitigation","Authorized containment and eradication without unsafe process impact",,,,,,,,,,
"RC.RP","Recover","Incident Recovery Plan Execution","Safe sequence, golden configurations, restore, validation and return to service",,,,,,,,,,
"RC.CO","Recover","Incident Recovery Communication","Recovery status, approvals, external communications and lessons learned",,,,,,,,,,
